Order_ID,Customer_ID,Order_Date,Order_Timestamp,Order_Status,Channel,Category,Subcategory,Items_Count,Order_Subtotal,Discount_Amount,Discount_Pct,Shipping_Cost,Tax_Amount,Order_Total,Payment_Method,Device_Type,Coupon_Code,Currency
ORD-100000,CUST-001000,2022-04-29,2022-04-29 20:58:00,Completed,Mobile App,Books,Sub_E,1,56.18,0.0,0,0.0,4.49,60.67,Credit Card,Desktop,,USD
ORD-100001,CUST-001000,2022-05-31,2022-05-31 00:39:00,Pending,Mobile App,Clothing,Sub_E,4,75.04,0.0,0,0.0,6.0,81.04,Credit Card,Mobile,,USD
ORD-100002,CUST-001000,2022-06-09,2022-06-09 20:40:00,Completed,Mobile App,Health & Beauty,Sub_B,1,59.35,8.9,15,0.0,4.04,54.49,PayPal,Mobile,FALL15,USD
ORD-100003,CUST-001000,2022-07-07,2022-07-07 12:49:00,Completed,In-Store,Clothing,Sub_A,1,67.99,0.0,0,0.0,5.44,73.43,Credit Card,Desktop,,USD
ORD-100004,CUST-001000,2022-12-09,2022-12-09 03:07:00,Completed,Online,Clothing,Sub_E,4,152.32,0.0,0,0.0,12.19,164.51,PayPal,Desktop,,USD
ORD-100005,CUST-001000,2022-12-27,2022-12-27 06:25:00,Completed,Mobile App,Clothing,Sub_D,2,62.04,3.1,5,0.0,4.72,63.66,Credit Card,Mobile,SAVE10,USD
ORD-100006,CUST-001000,2023-03-25,2023-03-25 10:40:00,Completed,Online,Clothing,Sub_B,4,107.42,0.0,0,0.0,8.59,116.01,Credit Card,Desktop,,USD
ORD-100007,CUST-001000,2023-05-17,2023-05-17 10:22:00,Completed,Online,Clothing,Sub_E,1,46.37,0.0,0,5.15,3.71,55.23,PayPal,Desktop,,USD
ORD-100008,CUST-001000,2023-07-14,2023-07-14 17:01:00,Completed,Mobile App,Clothing,Sub_E,2,56.15,0.0,0,0.0,4.49,60.64,PayPal,Desktop,,USD
ORD-100009,CUST-001000,2023-07-29,2023-07-29 07:05:00,Pending,Phone,Electronics,Sub_B,1,72.58,0.0,0,0.0,5.81,78.39,Credit Card,Desktop,,USD
ORD-100010,CUST-001000,2023-07-30,2023-07-30 09:29:00,Pending,Online,Clothing,Sub_D,4,116.75,0.0,0,0.0,9.34,126.09,PayPal,Mobile,,USD
ORD-100011,CUST-001000,2023-11-12,2023-11-12 12:06:00,Refunded,Mobile App,Clothing,Sub_E,6,162.31,0.0,0,0.0,12.98,175.29,Debit Card,Desktop,,USD
ORD-100012,CUST-001000,2023-11-13,2023-11-13 13:38:00,Pending,Online,Clothing,Sub_C,4,148.02,0.0,0,0.0,11.84,159.86,Apple Pay,Tablet,,USD
ORD-100013,CUST-001000,2023-11-16,2023-11-16 11:57:00,Cancelled,Mobile App,Electronics,Sub_A,4,120.51,0.0,0,0.0,9.64,130.15,Credit Card,Desktop,,USD
ORD-100014,CUST-001000,2023-11-20,2023-11-20 19:52:00,Cancelled,Online,Clothing,Sub_E,6,157.69,0.0,0,0.0,12.62,170.31,Credit Card,Mobile,,USD
ORD-100015,CUST-001000,2023-11-30,2023-11-30 02:13:00,Cancelled,Mobile App,Clothing,Sub_C,1,48.39,0.0,0,6.78,3.87,59.04,Credit Card,Desktop,,USD
ORD-100016,CUST-001000,2024-01-07,2024-01-07 06:29:00,Refunded,In-Store,Clothing,Sub_C,4,121.62,6.08,5,0.0,9.24,124.78,Credit Card,Mobile,FALL15,USD
ORD-100017,CUST-001000,2024-01-09,2024-01-09 22:38:00,Cancelled,Online,Clothing,Sub_A,2,96.61,0.0,0,0.0,7.73,104.34,PayPal,Desktop,,USD
ORD-100018,CUST-001000,2024-05-01,2024-05-01 06:12:00,Completed,Online,Clothing,Sub_D,4,125.09,0.0,0,0.0,10.01,135.1,Credit Card,Desktop,,USD
ORD-100019,CUST-001000,2024-05-17,2024-05-17 18:24:00,Completed,Mobile App,Clothing,Sub_E,7,151.66,7.58,5,0.0,11.53,155.61,Debit Card,Desktop,SAVE10,USD
ORD-100020,CUST-001000,2024-07-10,2024-07-10 09:08:00,Completed,Online,Clothing,Sub_A,2,130.05,0.0,0,0.0,10.4,140.45,PayPal,Mobile,,USD
ORD-100021,CUST-001000,2024-08-03,2024-08-03 13:46:00,Completed,Mobile App,Automotive,Sub_C,3,132.98,0.0,0,0.0,10.64,143.62,PayPal,Mobile,,USD
ORD-100022,CUST-001000,2024-10-06,2024-10-06 01:25:00,Completed,Phone,Clothing,Sub_D,1,76.98,0.0,0,0.0,6.16,83.14,Apple Pay,Desktop,,USD
ORD-100023,CUST-001000,2024-11-16,2024-11-16 03:01:00,Completed,Online,Clothing,Sub_A,2,131.42,0.0,0,0.0,10.51,141.93,Credit Card,Mobile,,USD
ORD-100024,CUST-001000,2024-12-07,2024-12-07 07:10:00,Completed,Mobile App,Books,Sub_B,1,83.68,0.0,0,0.0,6.69,90.37,Credit Card,Mobile,,USD
ORD-100025,CUST-001000,2024-12-28,2024-12-28 08:56:00,Completed,Online,Health & Beauty,Sub_A,4,145.71,0.0,0,0.0,11.66,157.37,Debit Card,Desktop,,USD
ORD-100026,CUST-001000,2025-03-18,2025-03-18 12:17:00,Pending,Phone,Clothing,Sub_B,2,78.34,0.0,0,0.0,6.27,84.61,Apple Pay,Mobile,,USD
ORD-100027,CUST-001000,2025-04-06,2025-04-06 20:28:00,Cancelled,Phone,Books,Sub_A,3,101.94,10.19,10,0.0,7.34,99.09,PayPal,Desktop,FALL15,USD
ORD-100028,CUST-001000,2025-06-04,2025-06-04 07:05:00,Completed,In-Store,Clothing,Sub_C,5,135.42,0.0,0,0.0,10.83,146.25,Credit Card,Desktop,,USD
ORD-100029,CUST-001000,2025-06-08,2025-06-08 06:44:00,Completed,In-Store,Health & Beauty,Sub_A,4,100.37,0.0,0,0.0,8.03,108.4,Credit Card,Desktop,,USD
ORD-100030,CUST-001000,2025-06-16,2025-06-16 03:21:00,Completed,Online,Clothing,Sub_E,2,46.42,0.0,0,5.93,3.71,56.06,Credit Card,Mobile,,USD
ORD-100031,CUST-001000,2025-08-29,2025-08-29 20:09:00,Completed,Mobile App,Clothing,Sub_A,2,100.79,0.0,0,0.0,8.06,108.85,Credit Card,Tablet,,USD
ORD-100032,CUST-001000,2025-11-27,2025-11-27 16:12:00,Completed,Online,Home & Garden,Sub_B,1,72.79,0.0,0,0.0,5.82,78.61,Credit Card,Mobile,,USD
ORD-100033,CUST-001000,2025-12-05,2025-12-05 03:09:00,Completed,Mobile App,Clothing,Sub_A,2,102.9,0.0,0,0.0,8.23,111.13,Credit Card,Desktop,,USD
